Instancia,Otimo,Media Custo,Melhor Solucao,Media Tempo,GAP,Metaheuristica
bayg29,1610,1846.7,1749,0.5931742668,8.633540373,VNS
bays29,2020,2303.1,2086,0.5570524931,3.267326733,VNS
berlin52,7542,8978.1,7949,2.838182926,5.396446566,VNS
bier127,118282,145667.5,139448,25.57139051,17.89452326,VNS
brazil58,25395,30738.9,27125,3.698068571,6.812364639,VNS
ch130,6110,7883.7,7024,26.02469931,14.95908347,VNS
ch150,6528,7914.5,7537,36.44616723,15.4564951,VNS
swiss42,1273,1494.7,1313,1.475289106,3.142183818,VNS
